customers_id,customers_entry_time,customers_time_done,customers_date,customers_served_by,customer_uuid,customer_service_needed,DO_NOT_TOUCH_FOR_REFERENCE_ONLY_customer_service_needed,customers_waiting_time
6957,853,856.16,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,4523eb7c-408f-4c69-878e-1d92888b661f,0.0,2.16,3.16
7022,854,863.12,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,e76c1ee5-bca9-4a11-a67c-6bf5e80e8c66,0.0,4.12,9.12
7004,854,859.45,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,a9b8a72e-ca67-4ca0-9fba-9b23de95bfee,0.0,4.45,5.45
7019,859,864.43,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,8ff7f6e3-24f6-48f6-9e22-a34c468c990b,0.0,4.43,5.43
7050,862,867.97,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,e3c4664c-7ed5-4c2d-b21b-f44308e730bf,0.0,4.97,5.97
6997,871,874.2,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,0ec8babf-1090-497f-88eb-fe31e4e47818,0.0,2.2,3.2
6986,873,878.64,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,463ddb45-3901-4c68-a752-c236c27bb558,0.0,4.64,5.64
6956,877,880.73,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,9c9c6914-fe83-4d1d-9095-ee134359b05d,0.0,2.73,3.73
6954,881,886.47,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,1a910110-a9b0-4681-b8db-d897f6425a15,0.0,4.47,5.47
7049,883,888.52,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,765c8cd0-71a2-4cc3-82d1-4403572065dc,0.0,4.52,5.52
6966,887,891.94,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,9fa7abec-362a-46fe-a3f7-badaf195efa4,0.0,3.94,4.94
7006,889,894.42,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,8c2c9283-ace5-4d48-8c79-d8ef3fdfa378,0.0,4.42,5.42
6998,898,903.49,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,27b33c8a-850c-4a5b-b9a9-8f6df6f862c0,0.0,4.49,5.49
7014,898,902.58,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,0f8704d9-6d36-4a0b-830c-ff3ecf28990c,0.0,3.58,4.58
6985,901,907.27,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,97a0425a-94e1-4e6a-8f26-60c08a2c284c,0.0,4.27,6.27
7023,901,909.65,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,68ef2f6b-ddc6-47be-8576-570c71ad004d,0.0,3.65,8.65
6960,901,906.03,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,a221244e-cd8b-4eee-ac51-041cbff28668,0.0,4.03,5.03
6999,902,911.92,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,a791c245-15d2-4b74-9e99-dcb78b02d3d6,0.0,4.92,9.92
7035,908,912.92,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,fb74430c-1c3c-4153-81b9-857c27f4907c,0.0,3.92,4.92
7061,912,915.23,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,8c7ab77b-41eb-4684-9f16-91e6ac3b9371,0.0,2.23,3.23
6995,912,917.11,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,635504dc-d91a-4c57-a2b7-2e00482f87c6,0.0,4.11,5.11
6948,924,927.58,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,d2b34662-4b94-4b25-9b40-e2080be934c5,0.0,2.58,3.58
7037,926,929.02,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,030b5cc2-e5fc-48e4-aac9-1d5fd1178df7,0.0,2.02,3.02
7042,940,943.63,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,913d319d-73bf-4a14-88a3-76343bb19aad,0.0,2.63,3.63
6976,941,946.91,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,b3a0ca1b-749b-4c83-b86d-9e0318d0b518,0.0,4.91,5.91
