customers_id,customers_entry_time,customers_time_done,customers_date,customers_served_by,customer_uuid,customer_service_needed,DO_NOT_TOUCH_FOR_REFERENCE_ONLY_customer_service_needed,customers_waiting_time
17799,658,661.11,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,49a96f55-cfcd-48dd-9fd9-e839a1261998,0.0,3.11,3.11
17866,659,667.88,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,4c0052b8-75c0-4f68-853c-22f57922dbe2,0.0,3.88,8.88
17911,659,664.12,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,509dc5df-c624-478e-844b-d281815264e1,0.0,3.12,5.12
17821,667,670.27,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,f82b0b4c-0493-4927-ad49-984b557a0ca1,0.0,3.27,3.27
17909,669,672.46,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,a3c311cb-833f-45a8-a68a-520b27f0f7ce,0.0,2.46,3.46
17904,671,674.02,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,333cef05-2d4e-4f71-b7fe-be37e95dc6dd,0.0,2.02,3.02
17836,678,681.42,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,cdddafe1-3b13-40c9-b162-07008b108db6,0.0,3.42,3.42
17944,680,684.03,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,a6bc3e39-eb57-456b-9e76-4ff54834e7e9,0.0,3.03,4.03
17862,683,686.47,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,14479541-c1f9-49a2-9695-bb4bff80b436,0.0,2.47,3.47
17793,685,689.54,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,f1b0fd07-a15b-4a77-82fc-138ae5072826,0.0,3.54,4.54
